Region,Period,Month,CPI
South,2007,December,203.457
South,2007,November,203.437
South,2007,October,202.155
South,2007,September,201.697
South,2007,August,201.041
South,2007,July,201.571
South,2007,June,201.675
South,2007,May,200.804
South,2007,April,199.618
South,2007,March,197.904
South,2007,February,195.95
South,2007,January,195.021
South,2006,December,194.8
South,2006,November,194.3
South,2006,October,194.7
South,2006,September,195.8
South,2006,August,197.1
South,2006,July,197
South,2006,June,196.3
South,2006,May,195.5
South,2006,April,194.7
South,2006,March,192.8
South,2006,February,191.8
South,2006,January,191.5
South,2005,December,190.1
South,2005,November,190.7
South,2005,October,192.5
South,2005,September,192
South,2005,August,189.4
South,2005,July,188.5
South,2005,June,187.8
South,2005,May,187.3
South,2005,April,187.3
South,2005,March,185.9
South,2005,February,184.7
South,2005,January,183.6
South,2004,December,183.3
South,2004,November,183.7
South,2004,October,183.7
South,2004,September,182.8
South,2004,August,182.6
South,2004,July,182.6
South,2004,June,182.9
South,2004,May,182
South,2004,April,180.9
South,2004,March,180.1
South,2004,February,179.1
South,2004,January,178.2
West,2013,December,236.096
West,2013,November,236.153
West,2013,October,237
West,2013,September,237.146
West,2013,August,236.591
West,2013,July,236.341
West,2013,June,236.227
West,2013,May,235.979
West,2013,April,235.488
West,2013,March,235.511
West,2013,February,234.595
West,2013,January,232.759
West,2012,December,232.029
West,2012,November,233.206
West,2012,October,234.966
West,2012,September,234.083
West,2012,August,233.001
West,2012,July,231.893
West,2012,June,232.701
West,2012,May,233.053
West,2012,April,232.561
West,2012,March,232.039
West,2012,February,229.995
West,2012,January,228.98
West,2011,December,228.117
West,2011,November,228.771
West,2011,October,229.195
West,2011,September,229.147
West,2011,August,228.222
West,2011,July,227.805
West,2011,June,228.075
West,2011,May,228.516
West,2011,April,227.837
West,2011,March,226.558
West,2011,February,224.431
West,2011,January,223.149
West,2010,December,222.081
West,2010,November,221.671
West,2010,October,221.708
West,2010,September,221.384
West,2010,August,221.523
West,2010,July,221.331
West,2010,June,221.147
West,2010,May,221.417
West,2010,April,221.202
West,2010,March,220.809
West,2010,February,220.179
West,2010,January,219.989
West,2009,December,219.307
West,2009,November,219.728
West,2009,October,220.447
West,2009,September,220.294
West,2009,August,219.884
West,2009,July,219.484
West,2009,June,219.865
West,2009,May,218.567
West,2009,April,217.91
West,2009,March,217.357
West,2009,February,217.095
West,2009,January,215.923
West,2008,December,214.685
West,2008,November,217.113
West,2008,October,221.034
West,2008,September,222.132
West,2008,August,222.823
West,2008,July,223.867
West,2008,June,223.04
West,2008,May,221.009
West,2008,April,219.437
West,2008,March,218.533
West,2008,February,216.339
West,2008,January,215.739
West,2007,December,214.733
West,2007,November,214.904
West,2007,October,213.917
West,2007,September,212.92
West,2007,August,212.406
West,2007,July,212.542
West,2007,June,212.68
West,2007,May,213.063
West,2007,April,212.036
West,2007,March,210.778
West,2007,February,208.995
West,2007,January,207.79
West,2006,December,206.2
West,2006,November,206.3
West,2006,October,207.1
West,2006,September,207.8
West,2006,August,207.5
West,2006,July,206.7
West,2006,June,206.4
West,2006,May,206.9
West,2006,April,205.3
West,2006,March,203.8
West,2006,February,202.7
West,2006,January,201.7
West,2005,December,200
West,2005,November,201.4
West,2005,October,202.6
West,2005,September,201.7
West,2005,August,199.6
West,2005,July,198.6
West,2005,June,198
West,2005,May,198.8
West,2005,April,198.6
West,2005,March,197.1
West,2005,February,195.7
West,2005,January,194.5
West,2004,December,194.2
West,2004,November,195.1
West,2004,October,195
West,2004,September,193.8
West,2004,August,193
West,2004,July,192.9
West,2004,June,193.3
West,2004,May,193.4
West,2004,April,192.3
West,2004,March,192.2
West,2004,February,190.8
West,2004,January,189.4
U.S. city average,2003,December,184.3
U.S. city average,2003,November,184.5
U.S. city average,2003,October,185
U.S. city average,2003,September,185.2
U.S. city average,2003,August,184.6
U.S. city average,2003,July,183.9
U.S. city average,2003,June,183.7
U.S. city average,2003,May,183.5
U.S. city average,2003,April,183.8
U.S. city average,2003,March,184.2
U.S. city average,2003,February,183.1
U.S. city average,2003,January,181.7
U.S. city average,2002,December,180.9
U.S. city average,2002,November,181.3
U.S. city average,2002,October,181.3
U.S. city average,2002,September,181
U.S. city average,2002,August,180.7
U.S. city average,2002,July,180.1
U.S. city average,2002,June,179.9
U.S. city average,2002,May,179.8
U.S. city average,2002,April,179.8
U.S. city average,2002,March,178.8
U.S. city average,2002,February,177.8
U.S. city average,2002,January,177.1
U.S. city average,2001,December,176.7
U.S. city average,2001,November,177.4
U.S. city average,2001,October,177.7
U.S. city average,2001,September,178.3
U.S. city average,2001,August,177.5
U.S. city average,2001,July,177.5
U.S. city average,2001,June,178
U.S. city average,2001,May,177.7
U.S. city average,2001,April,176.9
U.S. city average,2001,March,176.2
U.S. city average,2001,February,175.8
U.S. city average,2001,January,175.1
U.S. city average,2000,December,174
U.S. city average,2000,November,174.1
U.S. city average,2000,October,174
U.S. city average,2000,September,173.7
U.S. city average,2000,August,172.8
U.S. city average,2000,July,172.8
U.S. city average,2000,June,172.4
U.S. city average,2000,May,171.5
U.S. city average,2000,April,171.3
U.S. city average,2000,March,171.2
U.S. city average,2000,February,169.8
U.S. city average,2000,January,168.8
U.S. city average,1999,December,168.3
U.S. city average,1999,November,168.3
U.S. city average,1999,October,168.2
U.S. city average,1999,September,167.9
U.S. city average,1999,August,167.1
U.S. city average,1999,July,166.7
U.S. city average,1999,June,166.2
U.S. city average,1999,May,166.2
U.S. city average,1999,April,166.2
U.S. city average,1999,March,165
U.S. city average,1999,February,164.5
U.S. city average,1999,January,164.3
U.S. city average,1998,December,163.9
U.S. city average,1998,November,164
U.S. city average,1998,October,164
U.S. city average,1998,September,163.6
U.S. city average,1998,August,163.4
U.S. city average,1998,July,163.2
U.S. city average,1998,June,163
U.S. city average,1998,May,162.8
U.S. city average,1998,April,162.5
U.S. city average,1998,March,162.2
U.S. city average,1998,February,161.9
U.S. city average,1998,January,161.6
U.S. city average,1997,December,161.3
U.S. city average,1997,November,161.5
U.S. city average,1997,October,161.6
U.S. city average,1997,September,161.2
U.S. city average,1997,August,160.8
U.S. city average,1997,July,160.5
U.S. city average,1997,June,160.3
U.S. city average,1997,May,160.1
U.S. city average,1997,April,160.2
U.S. city average,1997,March,160
U.S. city average,1997,February,159.6
U.S. city average,1997,January,159.1
U.S. city average,1996,December,158.6
U.S. city average,1996,November,158.6
U.S. city average,1996,October,158.3
U.S. city average,1996,September,157.8
U.S. city average,1996,August,157.3
U.S. city average,1996,July,157
U.S. city average,1996,June,156.7
U.S. city average,1996,May,156.6
U.S. city average,1996,April,156.3
U.S. city average,1996,March,155.7
U.S. city average,1996,February,154.9
U.S. city average,1996,January,154.4
U.S. city average,1995,December,153.5
U.S. city average,1995,November,153.6
U.S. city average,1995,October,153.7
U.S. city average,1995,September,153.2
U.S. city average,1995,August,152.9
U.S. city average,1995,July,152.5
U.S. city average,1995,June,152.5
U.S. city average,1995,May,152.2
U.S. city average,1995,April,151.9
U.S. city average,1995,March,151.4
U.S. city average,1995,February,150.9
U.S. city average,1995,January,150.3
U.S. city average,1994,December,149.7
U.S. city average,1994,November,149.7
U.S. city average,1994,October,149.5
U.S. city average,1994,September,149.4
U.S. city average,1994,August,149
U.S. city average,1994,July,148.4
U.S. city average,1994,June,148
U.S. city average,1994,May,147.5
U.S. city average,1994,April,147.4
U.S. city average,1994,March,147.2
U.S. city average,1994,February,146.7
U.S. city average,1994,January,146.2
Northeast,2003,December,194.9
Northeast,2003,November,195.1
Northeast,2003,October,195.4
Northeast,2003,September,195
Northeast,2003,August,194.3
Northeast,2003,July,193.5
Northeast,2003,June,192.8
Northeast,2003,May,192.7
Northeast,2003,April,192.6
Northeast,2003,March,193
Northeast,2003,February,191.7
Northeast,2003,January,190.5
Northeast,2002,December,189.6
Northeast,2002,November,190.1
Northeast,2002,October,189.9
Northeast,2002,September,189.5
Northeast,2002,August,189.3
Northeast,2002,July,188.3
Northeast,2002,June,187.8
Northeast,2002,May,187.7
Northeast,2002,April,187.8
Northeast,2002,March,187
Northeast,2002,February,186.1
Northeast,2002,January,184.9
Northeast,2001,December,184.2
Northeast,2001,November,185
Northeast,2001,October,185
Northeast,2001,September,185.1
Northeast,2001,August,185.1
Northeast,2001,July,185
Northeast,2001,June,185.3
Northeast,2001,May,184.6
Northeast,2001,April,184.2
Northeast,2001,March,183.7
Northeast,2001,February,182.8
Northeast,2001,January,182.2
Northeast,2000,December,181.3
Northeast,2000,November,181.5
Northeast,2000,October,181.2
Northeast,2000,September,180.7
Northeast,2000,August,179.9
Northeast,2000,July,179.8
Northeast,2000,June,179
Northeast,2000,May,178.4
Northeast,2000,April,178.5
Northeast,2000,March,178.5
Northeast,2000,February,177.6
Northeast,2000,January,176.2
Northeast,1999,December,175.5
Northeast,1999,November,175.5
Northeast,1999,October,175.5
Northeast,1999,September,174.8
Northeast,1999,August,174.1
Northeast,1999,July,173.4
Northeast,1999,June,173.1
Northeast,1999,May,172.8
Northeast,1999,April,172.8
Northeast,1999,March,171.9
Northeast,1999,February,171.6
Northeast,1999,January,171.4
Northeast,1998,December,171.2
Northeast,1998,November,171.2
Northeast,1998,October,171.3
Northeast,1998,September,170.6
Northeast,1998,August,170.5
Northeast,1998,July,169.9
Northeast,1998,June,169.6
Northeast,1998,May,169.4
Northeast,1998,April,169.5
Northeast,1998,March,169.3
Northeast,1998,February,169.1
Northeast,1998,January,168.8
Northeast,1997,December,168.4
Northeast,1997,November,168.5
Northeast,1997,October,168.7
Northeast,1997,September,168.4
Northeast,1997,August,167.8
Northeast,1997,July,167.6
Northeast,1997,June,167
Northeast,1997,May,166.8
Northeast,1997,April,167.1
Northeast,1997,March,167.3
Northeast,1997,February,166.9
Northeast,1997,January,166.2
Northeast,1996,December,165.7
Northeast,1996,November,165.4
Northeast,1996,October,165.1
Northeast,1996,September,164.6
Northeast,1996,August,164
Northeast,1996,July,163.4
Northeast,1996,June,163.1
Northeast,1996,May,163
Northeast,1996,April,162.9
Northeast,1996,March,162.8
Northeast,1996,February,162.2
Northeast,1996,January,161.4
Northeast,1995,December,160.5
Northeast,1995,November,160.5
Northeast,1995,October,160.3
Northeast,1995,September,160
Northeast,1995,August,159.7
Northeast,1995,July,159.2
Northeast,1995,June,158.9
Northeast,1995,May,158.5
Northeast,1995,April,158.3
Northeast,1995,March,158
Northeast,1995,February,157.6
Northeast,1995,January,157.1
Northeast,1994,December,156.3
Northeast,1994,November,156.7
Northeast,1994,October,156.4
Northeast,1994,September,156.1
Northeast,1994,August,155.9
Northeast,1994,July,155.2
Northeast,1994,June,154.8
Northeast,1994,May,154.2
Northeast,1994,April,154.4
Northeast,1994,March,154.3
Northeast,1994,February,154
Northeast,1994,January,153.2
Midwest,2003,December,178.4
Midwest,2003,November,178.9
Midwest,2003,October,179.1
Midwest,2003,September,179.5
Midwest,2003,August,178.8
Midwest,2003,July,178.1
Midwest,2003,June,178.4
Midwest,2003,May,177.7
Midwest,2003,April,177.8
Midwest,2003,March,178.6
Midwest,2003,February,177.8
Midwest,2003,January,176.2
Midwest,2002,December,175.5
Midwest,2002,November,176.1
Midwest,2002,October,176.3
Midwest,2002,September,176.2
Midwest,2002,August,175.8
Midwest,2002,July,175.3
Midwest,2002,June,175.3
Midwest,2002,May,174.8
Midwest,2002,April,174.7
Midwest,2002,March,173.6
Midwest,2002,February,172.5
Midwest,2002,January,172.1
Midwest,2001,December,171.9
Midwest,2001,November,172.5
Midwest,2001,October,172.6
Midwest,2001,September,174.6
Midwest,2001,August,173
Midwest,2001,July,172.5
Midwest,2001,June,173.8
Midwest,2001,May,174.2
Midwest,2001,April,172.8
Midwest,2001,March,171.7
Midwest,2001,February,172.1
Midwest,2001,January,171.9
Midwest,2000,December,170.2
Midwest,2000,November,170.3
Midwest,2000,October,170.1
Midwest,2000,September,170
Midwest,2000,August,168.2
Midwest,2000,July,168.8
Midwest,2000,June,169.7
Midwest,2000,May,167.5
Midwest,2000,April,167
Midwest,2000,March,167.1
Midwest,2000,February,165.9
Midwest,2000,January,164.9
Midwest,1999,December,164.4
Midwest,1999,November,164.6
Midwest,1999,October,164.3
Midwest,1999,September,164.3
Midwest,1999,August,163.2
Midwest,1999,July,162.9
Midwest,1999,June,162.5
Midwest,1999,May,162.2
Midwest,1999,April,162.2
Midwest,1999,March,161
Midwest,1999,February,160.5
Midwest,1999,January,160.4
Midwest,1998,December,159.8
Midwest,1998,November,160.1
Midwest,1998,October,160.1
Midwest,1998,September,159.9
Midwest,1998,August,159.5
Midwest,1998,July,159.8
Midwest,1998,June,159.5
Midwest,1998,May,159.4
Midwest,1998,April,159
Midwest,1998,March,158.4
Midwest,1998,February,158
Midwest,1998,January,157.6
Midwest,1997,December,157.3
Midwest,1997,November,157.7
Midwest,1997,October,157.7
Midwest,1997,September,157.5
Midwest,1997,August,157.2
Midwest,1997,July,156.6
Midwest,1997,June,156.7
Midwest,1997,May,156.3
Midwest,1997,April,156.1
Midwest,1997,March,155.9
Midwest,1997,February,155.9
Midwest,1997,January,155.5
Midwest,1996,December,155.3
Midwest,1996,November,155
Midwest,1996,October,154.4
Midwest,1996,September,154
Midwest,1996,August,153.4
Midwest,1996,July,153.2
Midwest,1996,June,152.9
Midwest,1996,May,152.7
Midwest,1996,April,152.3
Midwest,1996,March,151.7
Midwest,1996,February,150.8
Midwest,1996,January,150.2
Midwest,1995,December,149.5
Midwest,1995,November,149.5
Midwest,1995,October,149.6
Midwest,1995,September,149.4
Midwest,1995,August,148.9
Midwest,1995,July,148.8
Midwest,1995,June,148.7
Midwest,1995,May,148.3
Midwest,1995,April,148.1
Midwest,1995,March,147.3
Midwest,1995,February,146.7
Midwest,1995,January,146.1
Midwest,1994,December,145.7
Midwest,1994,November,145.8
Midwest,1994,October,145.3
Midwest,1994,September,145.6
Midwest,1994,August,145.2
Midwest,1994,July,144.3
Midwest,1994,June,144
Midwest,1994,May,143.3
Midwest,1994,April,142.9
Midwest,1994,March,142.6
Midwest,1994,February,142.1
Midwest,1994,January,141.5
South,2003,December,177.5
South,2003,November,177.5
South,2003,October,178.1
South,2003,September,178.3
South,2003,August,177.9
South,2003,July,177.3
South,2003,June,177.2
South,2003,May,176.8
South,2003,April,177.4
South,2003,March,177.5
South,2003,February,176.4
South,2003,January,175.1
South,2002,December,174.6
South,2002,November,174.9
South,2002,October,174.9
South,2002,September,174.2
South,2002,August,173.8
South,2002,July,173.6
South,2002,June,173.5
South,2002,May,173.2
South,2002,April,173.1
South,2002,March,172.1
South,2002,February,171
South,2002,January,170.6
South,2001,December,170.3
South,2001,November,171
South,2001,October,171.7
South,2001,September,172.2
South,2001,August,171.5
South,2001,July,171.6
South,2001,June,172.2
South,2001,May,171.7
South,2001,April,171.4
South,2001,March,170.6
South,2001,February,170.2
South,2001,January,169.3
South,2000,December,168.4
South,2000,November,168.6
South,2000,October,168.5
South,2000,September,168.5
South,2000,August,168
South,2000,July,168
South,2000,June,167.5
South,2000,May,166.7
South,2000,April,166.7
South,2000,March,166.5
South,2000,February,164.8
South,2000,January,164.1
South,1999,December,163.6
South,1999,November,163.5
South,1999,October,163.6
South,1999,September,163.2
South,1999,August,162.6
South,1999,July,162.2
South,1999,June,161.7
South,1999,May,161.6
South,1999,April,161.5
South,1999,March,160.6
South,1999,February,160
South,1999,January,159.9
South,1998,December,159.6
South,1998,November,159.6
South,1998,October,159.8
South,1998,September,159.5
South,1998,August,159.5
South,1998,July,159.3
South,1998,June,159.1
South,1998,May,158.8
South,1998,April,158.5
South,1998,March,158.2
South,1998,February,157.8
South,1998,January,157.6
South,1997,December,157.3
South,1997,November,157.8
South,1997,October,157.8
South,1997,September,157.5
South,1997,August,157.1
South,1997,July,157
South,1997,June,157
South,1997,May,156.6
South,1997,April,156.7
South,1997,March,156.5
South,1997,February,156.1
South,1997,January,155.7
South,1996,December,155.1
South,1996,November,155.1
South,1996,October,154.9
South,1996,September,154.5
South,1996,August,154.1
South,1996,July,154
South,1996,June,154
South,1996,May,153.5
South,1996,April,153.2
South,1996,March,152.4
South,1996,February,151.5
South,1996,January,151.1
South,1995,December,150.3
South,1995,November,150.4
South,1995,October,150.5
South,1995,September,149.8
South,1995,August,149.7
South,1995,July,149.2
South,1995,June,149.1
South,1995,May,148.8
South,1995,April,148.4
South,1995,March,148
South,1995,February,147.4
South,1995,January,146.7
South,1994,December,146.1
South,1994,November,146
South,1994,October,145.9
South,1994,September,145.8
South,1994,August,145.5
South,1994,July,145
South,1994,June,144.7
South,1994,May,144.3
South,1994,April,143.8
South,1994,March,143.6
South,1994,February,142.9
South,1994,January,142.5
West,2003,December,188.3
West,2003,November,188.5
West,2003,October,189.4
West,2003,September,189.6
West,2003,August,189.2
West,2003,July,188.4
West,2003,June,188.1
West,2003,May,188.5
West,2003,April,188.8
West,2003,March,189.3
West,2003,February,188.1
West,2003,January,186.6
West,2002,December,185.5
West,2002,November,185.8
West,2002,October,185.8
West,2002,September,185.7
West,2002,August,185.3
West,2002,July,184.7
West,2002,June,184.5
West,2002,May,184.8
West,2002,April,185.1
West,2002,March,184
West,2002,February,183.2
West,2002,January,182.4
West,2001,December,181.6
West,2001,November,182.3
West,2001,October,182.5
West,2001,September,182.5
West,2001,August,181.9
West,2001,July,182
West,2001,June,182
West,2001,May,181.3
West,2001,April,180.4
West,2001,March,180.1
West,2001,February,179.3
West,2001,January,178.3
West,2000,December,177.1
West,2000,November,177.2
West,2000,October,177.2
West,2000,September,176.6
West,2000,August,175.9
West,2000,July,175.2
West,2000,June,174.3
West,2000,May,174
West,2000,April,173.7
West,2000,March,173.5
West,2000,February,172
West,2000,January,171
West,1999,December,170.5
West,1999,November,170.4
West,1999,October,170.4
West,1999,September,170
West,1999,August,169.5
West,1999,July,168.9
West,1999,June,168.3
West,1999,May,168.7
West,1999,April,169
West,1999,March,167.3
West,1999,February,166.9
West,1999,January,166.4
West,1998,December,165.8
West,1998,November,165.8
West,1998,October,165.5
West,1998,September,165.1
West,1998,August,164.8
West,1998,July,164.3
West,1998,June,164.2
West,1998,May,164.3
West,1998,April,163.6
West,1998,March,163.3
West,1998,February,163.2
West,1998,January,163
West,1997,December,162.8
West,1997,November,162.8
West,1997,October,162.8
West,1997,September,162.1
West,1997,August,161.5
West,1997,July,161.1
West,1997,June,161
West,1997,May,161.1
West,1997,April,161.1
West,1997,March,160.8
West,1997,February,160.1
West,1997,January,159.6
West,1996,December,158.7
West,1996,November,159.2
West,1996,October,159.1
West,1996,September,158.6
West,1996,August,158
West,1996,July,157.9
West,1996,June,157.5
West,1996,May,157.6
West,1996,April,157.1
West,1996,March,156.4
West,1996,February,155.8
West,1996,January,155.3
West,1995,December,154.3
West,1995,November,154.4
West,1995,October,154.6
West,1995,September,154.1
West,1995,August,153.7
West,1995,July,153.5
West,1995,June,153.6
West,1995,May,153.5
West,1995,April,153.2
West,1995,March,152.8
West,1995,February,152.4
West,1995,January,152
West,1994,December,151.2
West,1994,November,151.1
West,1994,October,151
West,1994,September,150.6
West,1994,August,150.1
West,1994,July,149.5
West,1994,June,148.9
West,1994,May,148.8
West,1994,April,148.9
West,1994,March,149
West,1994,February,148.3
West,1994,January,148.1
U.S. city average,1993,December,145.8
U.S. city average,1993,November,145.8
U.S. city average,1993,October,145.7
U.S. city average,1993,September,145.1
U.S. city average,1993,August,144.8
U.S. city average,1993,July,144.4
U.S. city average,1993,June,144.4
U.S. city average,1993,May,144.2
U.S. city average,1993,April,144
U.S. city average,1993,March,143.6
U.S. city average,1993,February,143.1
U.S. city average,1993,January,142.6
U.S. city average,1992,December,141.9
U.S. city average,1992,November,142
U.S. city average,1992,October,141.8
U.S. city average,1992,September,141.3
U.S. city average,1992,August,140.9
U.S. city average,1992,July,140.5
U.S. city average,1992,June,140.2
U.S. city average,1992,May,139.7
U.S. city average,1992,April,139.5
U.S. city average,1992,March,139.3
U.S. city average,1992,February,138.6
U.S. city average,1992,January,138.1
U.S. city average,1991,December,137.9
U.S. city average,1991,November,137.8
U.S. city average,1991,October,137.4
U.S. city average,1991,September,137.2
U.S. city average,1991,August,136.6
U.S. city average,1991,July,136.2
U.S. city average,1991,June,136
U.S. city average,1991,May,135.6
U.S. city average,1991,April,135.2
U.S. city average,1991,March,135
U.S. city average,1991,February,134.8
U.S. city average,1991,January,134.6
U.S. city average,1990,December,133.8
U.S. city average,1990,November,133.8
U.S. city average,1990,October,133.5
U.S. city average,1990,September,132.7
U.S. city average,1990,August,131.6
U.S. city average,1990,July,130.4
U.S. city average,1990,June,129.9
U.S. city average,1990,May,129.2
U.S. city average,1990,April,128.9
U.S. city average,1990,March,128.7
U.S. city average,1990,February,128
U.S. city average,1990,January,127.4
U.S. city average,1989,December,126.1
U.S. city average,1989,November,125.9
U.S. city average,1989,October,125.6
U.S. city average,1989,September,125
U.S. city average,1989,August,124.6
U.S. city average,1989,July,124.4
U.S. city average,1989,June,124.1
U.S. city average,1989,May,123.8
U.S. city average,1989,April,123.1
U.S. city average,1989,March,122.3
U.S. city average,1989,February,121.6
U.S. city average,1989,January,121.1
U.S. city average,1988,December,120.5
U.S. city average,1988,November,120.3
U.S. city average,1988,October,120.2
U.S. city average,1988,September,119.8
U.S. city average,1988,August,119
U.S. city average,1988,July,118.5
U.S. city average,1988,June,118
U.S. city average,1988,May,117.5
U.S. city average,1988,April,117.1
U.S. city average,1988,March,116.5
U.S. city average,1988,February,116
U.S. city average,1988,January,115.7
U.S. city average,1987,December,115.4
U.S. city average,1987,November,115.4
U.S. city average,1987,October,115.3
U.S. city average,1987,September,115
U.S. city average,1987,August,114.4
U.S. city average,1987,July,113.8
U.S. city average,1987,June,113.5
U.S. city average,1987,May,113.1
U.S. city average,1987,April,112.7
U.S. city average,1987,March,112.1
U.S. city average,1987,February,111.6
U.S. city average,1987,January,111.2
U.S. city average,1986,December,110.5
U.S. city average,1986,November,110.4
U.S. city average,1986,October,110.3
U.S. city average,1986,September,110.2
U.S. city average,1986,August,109.7
U.S. city average,1986,July,109.5
U.S. city average,1986,June,109.5
U.S. city average,1986,May,108.9
U.S. city average,1986,April,108.6
U.S. city average,1986,March,108.8
U.S. city average,1986,February,109.3
U.S. city average,1986,January,109.6
U.S. city average,1985,December,109.3
U.S. city average,1985,November,109
U.S. city average,1985,October,108.7
U.S. city average,1985,September,108.3
U.S. city average,1985,August,108
U.S. city average,1985,July,107.8
U.S. city average,1985,June,107.6
U.S. city average,1985,May,107.3
U.S. city average,1985,April,106.9
U.S. city average,1985,March,106.4
U.S. city average,1985,February,106
U.S. city average,1985,January,105.5
U.S. city average,1984,December,105.3
U.S. city average,1984,November,105.3
U.S. city average,1984,October,105.3
U.S. city average,1984,September,105
U.S. city average,1984,August,104.5
U.S. city average,1984,July,104.1
U.S. city average,1984,June,103.7
U.S. city average,1984,May,103.4
U.S. city average,1984,April,103.1
U.S. city average,1984,March,102.6
U.S. city average,1984,February,102.4
U.S. city average,1984,January,101.9
Northeast,1993,December,152.7
Northeast,1993,November,152.7
Northeast,1993,October,152.5
Northeast,1993,September,151.8
Northeast,1993,August,151.7
Northeast,1993,July,151.4
Northeast,1993,June,151.2
Northeast,1993,May,150.8
Northeast,1993,April,151.1
Northeast,1993,March,150.9
Northeast,1993,February,150.4
Northeast,1993,January,149.7
Northeast,1992,December,148.9
Northeast,1992,November,149
Northeast,1992,October,148.9
Northeast,1992,September,148.5
Northeast,1992,August,148.2
Northeast,1992,July,147.5
Northeast,1992,June,147
Northeast,1992,May,146.3
Northeast,1992,April,146.3
Northeast,1992,March,146.2
Northeast,1992,February,145.3
Northeast,1992,January,144.9
Northeast,1991,December,144.6
Northeast,1991,November,144.3
Northeast,1991,October,143.7
Northeast,1991,September,143.6
Northeast,1991,August,142.9
Northeast,1991,July,142.4
Northeast,1991,June,142.1
Northeast,1991,May,141.7
Northeast,1991,April,141.6
Northeast,1991,March,141.4
Northeast,1991,February,141.2
Northeast,1991,January,140.9
Northeast,1990,December,139.7
Northeast,1990,November,139.7
Northeast,1990,October,139.4
Northeast,1990,September,138.6
Northeast,1990,August,137.4
Northeast,1990,July,136
Northeast,1990,June,134.9
Northeast,1990,May,134.7
Northeast,1990,April,134.5
Northeast,1990,March,134.1
Northeast,1990,February,133.1
Northeast,1990,January,132.9
Northeast,1989,December,131.3
Northeast,1989,November,131.1
Northeast,1989,October,130.6
Northeast,1989,September,130
Northeast,1989,August,129.1
Northeast,1989,July,129
Northeast,1989,June,128.5
Northeast,1989,May,128.3
Northeast,1989,April,127.4
Northeast,1989,March,126.7
Northeast,1989,February,125.8
Northeast,1989,January,125.4
Northeast,1988,December,124.5
Northeast,1988,November,124.4
Northeast,1988,October,124.1
Northeast,1988,September,123.9
Northeast,1988,August,122.5
Northeast,1988,July,121.8
Northeast,1988,June,121.4
Northeast,1988,May,120.7
Northeast,1988,April,120.4
Northeast,1988,March,119.6
Northeast,1988,February,119.2
Northeast,1988,January,118.9
Northeast,1987,December,118.3
Northeast,1987,November,118.3
Northeast,1987,October,118.1
Northeast,1987,September,117.5
Northeast,1987,August,116.9
Northeast,1987,July,116
Northeast,1987,June,115.8
Northeast,1987,May,115.4
Northeast,1987,April,115
Northeast,1987,March,114.2
Northeast,1987,February,113.6
Northeast,1987,January,113.3
Northeast,1986,December,112.5
Northeast,1986,October,112
Northeast,1986,August,111.1
Northeast,1986,June,110.6
Northeast,1986,April,110.3
Northeast,1986,February,110.8
Northeast,1985,December,110.7
Northeast,1985,October,109.5
Northeast,1985,August,108.6
Northeast,1985,June,108.2
Northeast,1985,April,107.8
Northeast,1985,February,106.8
Northeast,1984,December,106
Northeast,1984,October,105.7
Northeast,1984,August,105
Northeast,1984,June,104.1
Northeast,1984,April,103.8
Northeast,1984,February,103.1
Midwest,1993,December,141.2
Midwest,1993,November,141.4
Midwest,1993,October,141.5
Midwest,1993,September,140.9
Midwest,1993,August,140.4
Midwest,1993,July,140
Midwest,1993,June,140
Midwest,1993,May,139.8
Midwest,1993,April,139.4
Midwest,1993,March,139
Midwest,1993,February,138.6
Midwest,1993,January,138.1
Midwest,1992,December,137.7
Midwest,1992,November,137.6
Midwest,1992,October,137.4
Midwest,1992,September,137.2
Midwest,1992,August,136.7
Midwest,1992,July,136.3
Midwest,1992,June,136
Midwest,1992,May,135.5
Midwest,1992,April,135.1
Midwest,1992,March,134.8
Midwest,1992,February,134.3
Midwest,1992,January,134.1
Midwest,1991,December,134.1
Midwest,1991,November,134
Midwest,1991,October,133.6
Midwest,1991,September,133.4
Midwest,1991,August,132.8
Midwest,1991,July,132.4
Midwest,1991,June,132.6
Midwest,1991,May,132.3
Midwest,1991,April,131.5
Midwest,1991,March,131.3
Midwest,1991,February,130.8
Midwest,1991,January,130.5
Midwest,1990,December,130.2
Midwest,1990,November,130.4
Midwest,1990,October,130
Midwest,1990,September,129.4
Midwest,1990,August,128.4
Midwest,1990,July,126.9
Midwest,1990,June,126.9
Midwest,1990,May,126
Midwest,1990,April,125.8
Midwest,1990,March,125.5
Midwest,1990,February,124.9
Midwest,1990,January,124.5
Midwest,1989,December,123.2
Midwest,1989,November,123.2
Midwest,1989,October,123
Midwest,1989,September,122.5
Midwest,1989,August,122
Midwest,1989,July,122
Midwest,1989,June,121.8
Midwest,1989,May,121.3
Midwest,1989,April,120.8
Midwest,1989,March,119.8
Midwest,1989,February,119.3
Midwest,1989,January,118.7
Midwest,1988,December,118.2
Midwest,1988,November,118.1
Midwest,1988,October,118.1
Midwest,1988,September,117.7
Midwest,1988,August,117.2
Midwest,1988,July,116.6
Midwest,1988,June,116
Midwest,1988,May,115.5
Midwest,1988,April,114.9
Midwest,1988,March,114.3
Midwest,1988,February,113.7
Midwest,1988,January,113.4
Midwest,1987,December,113.3
Midwest,1987,November,113.5
Midwest,1987,October,113.5
Midwest,1987,September,113.6
Midwest,1987,August,113.1
